09:05:27.962 | 0f | e0 0a 80 24 d0 23 76 26 b4 1d c2 16 22 19 ea  |  -99 CRC error
09:05:28.225 | 0f | e1 0a 8c 16 84 15 b6 9d c1 1c ab fe aa aa bd  | -100 CRC error
09:05:30.295 | 0f | e9 0a ec 38 f4 26 59 18 00 1d d2 23 81 1a 8a  |  -97 CRC error
09:05:30.816 | 0f | eb 0b 04 20 d5 26 76 23 1c 1e 3a 1e 15 2a 37  |  -99 CRC error
09:05:31.074 | 0f | ec 0b 10 17 9b 1d 3d 1f b8 20 63 28 55 20 cb  | -102 CRC error
09:05:31.327 | 0f | ed 0b 1c 1a bf 2a 2c 2f bb 1f 64 18 f0 17 8f  | -101 CRC error
09:05:31.593 | 0f | ee 0b 28 2a f4 32 ee 1f 77 22 8e 1a 6d 15 7c  | -102 CRC error
09:05:31.846 | 0f | ef 0b 34 21 dc 21 c0 19 8d 29 97 23 10 28 f6  | -102 CRC error
09:05:32.104 | 0f | f0 0b 40 24 85 1f ec 18 14 23 6f 20 cb 1b d5  |  -96 CRC error
09:05:32.625 | 0f | f2 0b 58 15 57 16 a8 13 9d 1d d7 12 e2 1d 5a  |  -97 CRC error
09:05:32.888 | 0f | f3 0b 64 14 ef 19 ef 18 9c 28 8e 27 24 16 76  |  -96 CRC error
09:05:33.402 | 0f | f5 4b 6c aa ab 19 85 1d 6f 11 a0 1e d4 28 c2  | -102 CRC error
09:05:33.664 | 0f | f6 0b 88 24 1b 20 c4 23 95 1a ab 21 01 27 72  |  -97 CRC error
09:05:34.183 | 0f | fa 1b a8 25 b5 1d 29 2a b5 21 4a 2e da 17 6f  | -100 CRC error
09:05:34.440 | 0f | f9 0b ac 22 55 22 27 2e ef 16 ce 22 ab 27 41  | -100 CRC error
09:05:36.257 | 0f | 01 0c 00 20 56 05 5c 1e 27 17 d2 9a 09 0e 34  |  -99 CRC error
09:05:36.519 | 0f | 01 0c 0c 23 4a 1e 21 20 15 18 9e 22 a9 2b 68  |  -94 CRC error
09:05:37.547 | 0f | 05 0c 3c 14 b3 11 39 11 fc 12 c3 14 7d 1e 47  |  -99 CRC error
09:05:37.809 | 0f | 06 0d 48 1c 48 26 41 20 a6 25 55 20 95 2a 5b  | -100 CRC error
09:05:38.067 | 0f | 07 0c 54 1d 99 5e 55 29 c4 1c 85 1b 4e 1c f7  | -104 CRC error
09:05:47.400 | 2f | 2b 0e 04 1d 93 25 fb 1a c5 21 b9 27 17 19 bf 4b 2a ad 5d 55 56 ad 7f fd 52 aa ae a9 5a d7 55 ad 2d 55 55 55 d5 fa a9 69 02 95 52 aa 95 55 52  | -106 CRC error
09:05:48.178 | 0f | 2e 0e 28 27 62 27 d5 1d 3b 24 18 22 17 1e 71  | -103 CRC error
09:05:48.438 | 0f | 2f 0e 34 1b 56 1d 45 19 d5 5a ec 5a a6 1f a2  | -102 CRC error
09:05:48.952 | 0f | 31 0e 4c 20 e5 18 1e 24 6d 27 b4 28 2b 35 5f  | -101 CRC error
09:05:49.989 | 0f | 35 0e 7c 1f 6f 1c d5 25 f8 1f 9d 21 e0 27 04  | -104 CRC error
09:05:51.547 | 2f | 3b 0e c4 29 92 19 14 a2 2e 2b fb 1c 96 1e 31 ab f5 5a b6 f5 55 6f ea ab ab 5f aa ad 6a ff d5 be ad ff aa ab 65 5a aa b6 ab d5 7b aa ea aa aa  |  -99 CRC error
09:05:51.808 | 0f | 3c 0e d0 21 ee 19 1b 23 8e 1f 2a 25 2d 20 21  | -104 CRC error
09:05:52.066 | 0d | 3d 2e dc 2a be 19 27 15 70 1f 9e 23 23  | -107 CRC error
09:05:53.100 | 0f | 41 0f 0c 24 00 22 2b 14 45 21 d5 16 5d 16 ab  | -103 CRC error
09:05:54.138 | 0f | 45 0f 3c 1f bd 1a d1 19 2d 18 0a 27 02 24 b1  | -100 CRC error
09:05:55.692 | 0f | 4b 0f 84 1c e1 28 89 16 e4 13 b6 a0 6d 2b 19  |  -97 CRC error
09:05:55.962 | 4f | 4d 4f 90 1a 88 1a 95 2a 32 20 85 2b 62 2e d7 5a ab aa aa b6 b5 55 56 aa ab 75 5d 57 aa 55 6a b5 5a d5 bd 55 55 55 ab 6a fd 5a b5 56 aa aa fe af f5 55 74 aa b5 55 ea bf d5 2a ae aa aa 55 55 55 57 fa aa ad 55 55 56 aa b5 5a d5 55 56 ae aa  | -103 CRC error
09:05:56.729 | 0f | 4e 0f b4 1f 55 56 28 1a 0b 5b aa 19 93 1c 58  | -102 CRC error
09:05:57.251 | 0f | 51 07 45 4a ba a9 08 1b 0e 1d 2a a5 54 b5 14  |  -96 CRC error
09:05:58.543 | 0f | 56 92 0a a9 26 ab e9 2d 0e ad 46 18 4a 2b 95  | -104 CRC error
09:05:58.806 | 0f | 57 10 14 19 49 26 b2 26 95 55 2a ea a9 4a 55  | -100 CRC error
